train-AUCPR,val-AUCPR,train-AUROC,val-AUROC
0.940215,0.71301,0.991419,0.947215
0.940412,0.713081,0.991456,0.94726
0.940542,0.713283,0.991479,0.947291
0.940636,0.713304,0.991495,0.947302
0.940699,0.713308,0.991508,0.947307
0.940773,0.713338,0.991516,0.947338
0.940867,0.713457,0.991534,0.947349
0.940981,0.713402,0.99155,0.947331
0.941034,0.713392,0.991559,0.947319
0.941253,0.713855,0.99159,0.947403
0.941382,0.714009,0.991612,0.947424
0.941583,0.714225,0.991644,0.947455
0.941728,0.714321,0.991667,0.947509
0.941867,0.714317,0.991685,0.947514
0.941931,0.714061,0.991696,0.947464
0.94203,0.714235,0.99171,0.947479
0.942114,0.714363,0.991722,0.947509
0.942265,0.714144,0.991746,0.947481
0.942351,0.714316,0.99176,0.947513
0.942458,0.714302,0.991783,0.947527
0.942588,0.71441,0.991804,0.947528
0.942681,0.714405,0.991819,0.947538
0.942796,0.714275,0.991837,0.947527
0.942954,0.714518,0.991867,0.947573
0.943164,0.714645,0.991904,0.947615
0.943217,0.714652,0.991912,0.947616
0.943529,0.714815,0.991956,0.947643
0.943679,0.714825,0.991977,0.947672
0.943827,0.71489,0.991999,0.947706
0.944039,0.714974,0.992028,0.947753
0.944123,0.715045,0.992041,0.947756
0.944372,0.715112,0.992072,0.94777
0.944561,0.715157,0.9921,0.947769
0.944803,0.715206,0.992132,0.947757
0.944891,0.715225,0.992146,0.947754
0.9449,0.715209,0.992149,0.947771
0.945134,0.715406,0.992184,0.947812
0.945226,0.715566,0.9922,0.947837
0.94531,0.715425,0.992214,0.947838
0.945365,0.715504,0.992223,0.947875
0.945448,0.715639,0.992235,0.947914
0.945494,0.715707,0.992243,0.947903
0.945733,0.715659,0.992281,0.947921
0.945835,0.715709,0.992301,0.947927
0.94593,0.715913,0.992315,0.947971
0.946068,0.71595,0.992334,0.947961
0.946172,0.71605,0.99235,0.948009
0.946214,0.715947,0.992356,0.947982
0.946425,0.716009,0.992383,0.948028
0.946507,0.71618,0.992397,0.948065
0.946711,0.716108,0.99243,0.948071
0.946814,0.716314,0.992449,0.948098
0.946964,0.71654,0.99247,0.948129
0.947134,0.716592,0.992499,0.948162
0.947223,0.716342,0.992513,0.948118
0.947369,0.716478,0.992543,0.948144
0.94753,0.716668,0.99257,0.948232
0.947673,0.716783,0.992589,0.948268
0.947803,0.71701,0.992611,0.94831
0.948008,0.71739,0.992643,0.948375
0.948083,0.717395,0.992654,0.948386
0.948205,0.717516,0.992674,0.948383
0.948394,0.717763,0.992702,0.948416
0.948437,0.717797,0.992713,0.948398
0.94856,0.71777,0.992731,0.948392
0.948629,0.717819,0.992742,0.948411
0.94868,0.717713,0.99275,0.948406
0.948824,0.717991,0.992775,0.94844
0.94891,0.718145,0.992788,0.948467
0.948968,0.718052,0.992798,0.94847
0.949141,0.71832,0.992826,0.948506
0.94926,0.718235,0.992842,0.948508
0.949404,0.718295,0.992862,0.94852
0.949491,0.718192,0.992875,0.948494
0.949576,0.718323,0.992888,0.948531
0.949674,0.718365,0.992906,0.948543
0.949825,0.718462,0.992931,0.94855
0.949932,0.718357,0.992948,0.948514
0.950154,0.71848,0.992978,0.948551
0.950395,0.718798,0.993016,0.948612
0.950499,0.718873,0.993031,0.948621
0.950576,0.71889,0.993041,0.948643
0.950615,0.718911,0.993048,0.948654
0.950789,0.718915,0.993073,0.948656
0.950989,0.719036,0.993101,0.948676
0.951086,0.718948,0.993116,0.948665
0.951164,0.719165,0.993129,0.948695
0.951411,0.719252,0.993167,0.948711
0.951625,0.719363,0.993191,0.948728
0.951725,0.71942,0.993204,0.948715
0.951836,0.719397,0.993219,0.948731
0.951992,0.719461,0.993246,0.948772
0.952087,0.719653,0.993258,0.948817
0.952207,0.719702,0.993275,0.948839
0.952298,0.719577,0.993287,0.948832
0.95238,0.719791,0.993297,0.948877
0.952532,0.720055,0.993318,0.948926
0.952593,0.720132,0.993328,0.948948
0.952723,0.720351,0.993345,0.948976
0.952934,0.720624,0.993375,0.949032
0.953035,0.720744,0.993391,0.94905
0.95316,0.721043,0.993411,0.949075
0.953293,0.721121,0.993435,0.949103
0.953404,0.721152,0.993449,0.949106
0.953452,0.721142,0.993458,0.949093
0.953692,0.72123,0.993491,0.949131
0.953771,0.721292,0.993503,0.949181
0.953965,0.721501,0.99353,0.949221
0.954016,0.721502,0.99354,0.949224
0.954155,0.721729,0.99356,0.949249
